strain_report_key,source_key,strain_name,year_isolated,reference_strain,clinical_isolate,year_reported,has_full_params,has_mic,notes
AE7570_Hauser2015,Hauser2015,AE7570,2011,0,,2015,0,1,
AE4615_Hauser2015,Hauser2015,AE4615,2011,0,,2015,0,1,
AE6772_Hauser2015,Hauser2015,AE6772,2012,0,,2015,0,1,
AE2655_Hauser2015,Hauser2015,AE2655,2012,0,,2015,0,1,
AE9562_Hauser2015,Hauser2015,AE9562,2012,0,,2015,0,1,
ATCC49226_Hauser2015,Hauser2015,ATCC49226,,,,2015,0,1,
AZTHRL_Hauser2015,Hauser2015,AZTHRL,2011,,,2015,0,1,
F89_Hauser2015,Hauser2015,F89,2010,,,2015,1,1,
WHOF_Foerster2015,Foerster2015,WHOF,1991,1,,2015,1,1,
WHOO_Foerster2015,Foerster2015,WHOO,,1,,2015,1,1,
WHOP_Foerster2015,Foerster2015,WHOP,,1,0,2015,1,1,
H041_Foerster2015,Foerster2015,H041,2009,1,1,2015,1,1,
DG666_Foerster2016,Foerster2016,DG666,1964,0,1,2016,1,1,
OM5_Foerster2015,Foerster2015,OM5,,0,0,2015,1,1,
PM4_Foerster2015,Foerster2015,PM4,,0,0,2015,1,1,
WHOF_Gubensek2022,Gubensek2022,WHOF,1991,1,,2022,1,1,
WHOX_Gubensek2022,Gubensek2022,WHOX,,1,,2022,1,1,
CS03307_Gubensek2022,Gubensek2022,CS03307,2016,0,1,2022,1,1,
SRRSH240_Gu2023,Gu2023,SRRSH240,,0,1,2023,1,1,"FC428 clone"
ATCC49226_Gu2023,Gu2023,ATCC49226,,1,0,2023,1,1,
WHOF_Unemo2024,Unemo2024,WHOF,1991,1,,2024,0,1,
WHOX_Unemo2024,Unemo2024,WHOX,,1,,2024,0,1,
WHOR_Unemo2024,Unemo2024,WHOR,,1,,2024,0,1,"FC428 clone"
WHOZ_Unemo2024,Unemo2024,WHOZ,,1,,2024,0,1,
